,0
0,60.093893060329776
1,-70.28975471170097
2,-76.1848230063271
3,-326.17070499833994
4,-163.22949032308884
5,-95.32840853688863
6,-360.3088175993589
7,-248.826394197344
8,-129.10340885747374
9,-247.84202835940752
10,-222.27818221164762
11,-67.809020080353
12,-113.38373624392757
13,-124.2714163442323
14,-23.838046944370504
15,-120.17746243778855
16,-224.73982125363247
17,-109.57079406546247
18,-165.14788882046258
19,-418.1971056552743
20,-465.87112085556635
21,-137.96463396205797
22,-278.86346402527727
23,-117.026812078496
24,-131.89022272491695
25,-83.69864820080075
26,-173.86494604460006
27,-85.10333105246376
28,-252.06046066328173
29,-94.2260089254304
30,-68.99905804098502
31,-81.16384636315632
32,-66.2216425298158
33,-270.8947838173009
34,-246.28511657823884
35,-94.1266152629481
36,-103.24437720777316
37,-490.37973662301175
38,-351.2483622653978
39,-232.75520484605005
40,-325.2983152260542
41,-394.2647644094089
42,-98.13053955607639
43,-22.22637247157455
44,-412.89736393251263
45,-106.39559767264365
46,-242.907651406153
47,-82.44826452929614
48,-190.64128509802566
49,-285.334809457157
50,-139.17327766506597
51,-104.43429204014072
52,-109.23602815381666
53,-297.83284341850776
54,-28.852131954463346
55,-173.90552436805393
56,-283.04260376324964
57,-129.49959279152617
58,-262.35128344685086
59,-196.65859604126854
60,-25.43481416804528
61,-118.3665118260761
62,-220.32249229461235
63,-446.27922743894084
64,-456.5034635731211
65,-39.47244929369375
66,-309.6555675953362
67,-140.78740351069936
68,-196.63893575223528
69,-193.41040364770907
70,-243.12342566092693
71,-285.63206900683576
72,-182.15626125401047
73,-372.98906973495576
74,-434.2099829506095
75,-68.20735371276623
76,-503.56138367526415
77,-51.98243644775448
78,-274.0783036861898
79,-431.380465198809
80,-202.4591725950252
81,-317.9726272376207
82,-426.7019758913932
83,-200.7193269759425
84,-84.69112704152604
85,-324.95528191554774
86,-421.9681189035966
87,-407.95112005995924
88,-117.08284822696521
89,-94.82876189811051
90,-479.4141877085249
91,-422.16590851640655
92,-67.84530909210692
93,-45.33207363492208
94,-399.04211950375594
95,-457.71521019385904
96,-243.9800369772869
97,-238.73112802312403
98,-296.6289952612884
99,-544.2134103258936
100,-134.93997994455674
101,-229.98744765414793
102,-856.5025176476669
103,-80.10440905969396
104,-307.11431423212
105,-292.4578175913516
106,-138.84110374063926
107,-121.47608433104921
108,-61.917755653077684
109,-320.0418978312905
110,-186.11624622733348
111,-125.68381901075608
112,-77.23318780023635
113,-85.51248139607071
114,-152.38229524643276
115,-60.51163709807615
116,-452.02813405031003
117,-312.7872849053989
118,-318.41376248326634
119,-407.3708793294873
120,-70.63866142185663
121,-410.2953827782239
122,-452.9860686604486
123,-321.395904838742
124,-307.73266360291564
125,-336.62422002865094
126,-83.82893428133396
127,-99.60046862388147
128,-153.349214688604
129,-185.53234492291085
130,-112.09533329505979
131,-403.8741845616937
132,-322.85362465370605
133,-247.51152878362765
134,-310.9431860651166
135,-48.62504160159472
136,-104.32837363774874
137,-210.37203258415815
138,-108.34859739749345
139,-346.96517887987955
140,-64.18280482516785
141,-61.85463425410594
142,-222.51599533266108
143,-178.97228319671729
144,-154.4434457724562
145,-338.37105882493154
146,-352.5016913384384
147,-306.3548376416877
148,-109.6346031888839
149,-455.0342776060666
150,-272.6631525672491
151,-182.11986754624078
152,-205.83246375329466
153,-107.40884882189934
154,-191.87419683702205
155,-420.14633929006806
156,-416.9825586817144
157,-303.75326923430316
158,-235.64261222793175
159,-444.0052953889248
160,-402.0302175598224
161,-125.57282724087284
162,-310.09356749459255
163,-129.87979079003065
164,-154.55009444683236
165,-70.26859226524303
166,-97.06918988187789
167,-483.7069103029423
168,-62.6087563081438
169,-180.91514484000106
170,-73.82338655158443
171,-276.62984135015734
172,-94.14119917773597
173,-268.9338106350831
174,-46.432801444341365
175,-308.5532576616951
176,-25.699555664782935
177,-325.34542627173556
178,-151.65364641589832
179,-102.10022646057256
180,-518.2203730147705
181,-125.14699281799179
182,-601.4222289607667
183,-316.1062794387225
184,-184.60663197886436
185,-463.6417136056069
186,-324.27144060754796
187,-535.7104613070046
188,-173.68985451512833
189,-299.93943431124853
190,-187.12048690598712
191,-426.4825228751048
192,-75.973055084121
193,-405.3555397261445
194,-42.944039817148784
195,-97.79178755320208
196,-187.77156030253363
197,-310.10466517948544
198,-94.13982481321096
199,-133.5576112545475
200,-136.53476946929098
201,-364.3607779691757
202,-498.5144215311773
203,-311.35189128593566
204,-287.97114798437997
205,-149.37089645895037
206,-431.9714682690348
207,-73.665918798686
208,-92.31507017681709
209,-261.6005030822288
210,-74.11177358883938
211,-465.1542360050563
212,-126.91939614264615
213,-89.55866474904317
214,-278.3927479921016
215,-100.33027294529334
216,-306.3311476955499
217,-229.15036280255836
218,-97.61575217612877
219,-218.5969052939711
220,-462.08134456254476
221,-89.20502342481579
222,-309.4603395426844
223,-270.6106405354418
224,-214.17955340494728
225,-273.4385543415733
226,-79.92486627689885
227,-157.40955906333778
228,-391.0884238745002
229,-82.65368463692805
230,-246.33519652130738
231,-142.08216150849736
232,-59.20442903689938
233,-263.66602677720334
234,-365.61224828644436
235,-363.48338290020746
236,-436.43230417758485
237,-500.1430402766525
238,-119.25642201542182
239,-580.0541963362223
240,-223.5988175656965
241,-100.00129556614439
242,-199.0924521135564
243,-495.39896127779247
244,-202.8602408919498
245,-356.80233687985213
246,-362.4668691194421
247,-130.04298483996251
248,-335.0801687017753
249,-151.97246840496138
250,-192.00890948898913
251,-146.6728199931227
252,-291.26523741921847
253,-117.48242491765221
254,-253.47207522225494
255,-36.04118123121113
256,-112.90992970878052
257,-327.4761941213716
258,-332.34291921286945
259,-78.16277686120377
260,-150.76763011711125
261,-113.55727978924246
262,-84.48457285849112
263,-295.03433619608177
264,-367.500822701939
265,-289.34323479188697
266,-94.56499750523237
267,-237.444762815091
268,-69.48640082956558
269,-267.4573358971178
270,-240.85725173543912
271,-340.9737546855573
272,-319.85608557391197
273,-171.31735953594
274,-538.7287369980722
275,-163.3740849208956
276,-236.98222430265585
277,-293.1055003864943
278,-257.3781136302803
279,-248.92661296611405
280,-89.5280473590835
281,-333.47380789941315
282,-529.5107150847623
283,-109.31259012103376
284,-254.2031041410565
285,-64.59901731870877
286,-226.26601618638864
287,-216.22315810555844
288,-227.36612791967326
289,-274.7849999398534
290,-390.2149448166326
291,-272.9896893854125
292,-86.72573317735456
293,-156.25600972988292
294,-371.07351188744855
295,-128.5648764461442
296,-93.26254110780734
297,-296.33202592225257
298,-106.41686117594875
299,-245.0084710189624
300,-83.62221773655523
301,-120.80045637925178
302,-89.06596608949744
303,-493.9984749758798
304,-135.97406594754992
305,-200.386955709144
306,-521.2799081818359
307,-373.9277844563575
308,-361.9272595286616
309,-376.20572864147283
310,-79.9458070514704
311,-116.66010597627428
312,-237.3340923861947
313,-292.42378476668057
314,-264.1307097350823
315,-551.6901289906623
316,-189.55104865485964
317,-202.99514302249298
318,-215.3670757556299
319,-536.6092547242374
320,-326.5321865633098
321,-389.86522161894936
322,-158.8582616444201
323,-118.5431222414606
324,-99.95784585988807
325,-88.31523632011407
326,-177.03038962999625
327,-296.1325969286051
328,-457.82263002344854
329,-14.521357258604155
330,-430.1650836383493
331,-279.51246851220753
332,-455.2381594734641
333,-385.0850398412642
334,-299.05691272705894
335,-188.93793650096973
336,-113.28398498511076
337,-437.06572627529727
338,-93.70025319894069
339,-244.47468451060462
340,-247.4431988751369
341,-113.0566498233059
342,-90.89455326881452
343,-299.6832100482877
344,-109.77105871979384
345,-190.43132704566813
346,-304.26900634381644
347,-115.88440980123357
348,-580.1783461740315
349,-602.7176265964583
350,-68.43530919995528
351,-43.48733899101201
352,-190.21314240129635
353,-93.06358390765892
354,-538.5073346523354
355,-80.62554714753111
356,-353.04936743403437
357,-129.72121108716044
358,-261.6340421658742
359,-124.39522237977155
360,-388.5259226667724
361,-284.10377587111185
362,-123.14912365451981
363,-126.82845756831969
364,-297.4949228495501
365,-271.9932884685813
366,-602.7937270356231
367,-125.96569587969218
368,-152.5831580589647
369,-466.8345600456575
370,-142.87882652129744
371,-89.6315380664371
372,-266.51213498706215
373,-378.7996196643407
374,-295.7481038461699
375,-515.364486139681
376,-295.01712246848024
377,-341.42407720107303
378,-243.67847955002836
379,-258.3543240306394
380,-294.8370741171532
381,1.4317152601010008
382,-208.27372548907437
383,-254.38026726515386
384,-340.38939391812823
385,-255.3370774100038
386,-350.7329356002256
387,-413.09130991017963
388,-93.53131855564592
389,-382.98545929215544
390,-189.58893371374955
391,-324.9842535052271
392,-138.13485972815502
393,-225.27605065148126
394,-86.01235445748395
395,-126.44143574020332
396,-375.28218020034075
397,-158.84293675057165
398,-280.6970236618322
399,-112.31194789301091
400,-6.370784216838615
401,-183.99791983808757
402,-90.49189337016227
403,-217.29409986827193
404,-264.64452902961784
405,-165.0804029196471
406,-142.92176458200368
407,-369.10248002824744
408,-248.1879706434582
409,-138.75357840199536
410,-208.12893168851625
411,-65.10265152699496
412,-115.7779941240956
413,-381.50110939542634
414,-315.06674277204115
415,-289.22029436523655
416,-205.93669929445275
417,-428.43885121091864
418,-227.09247270537276
419,-298.2519173452307
420,-430.2637792845772
421,-282.04922767517155
422,-193.52929228701097
423,-84.40229076173571
